I
1100 Generated by WorldEditor 1.7.21r1

1    354 1 0 ENKJ Kjeller
1302 city Kjeller
113  59.97139759  011.03913165
111  59.97167074  011.04133878
111  59.97157421  011.04167821
111  59.97128997  011.04138512
111  59.97103748  011.04232087
111  59.97094594  011.04225075
111  59.97082701  011.04275176
111  59.97120753  011.04315204
112  59.97116438  011.04322007  59.97111397  011.04320748
111  59.97075420  011.04278236
111  59.97083183  011.04246672
111  59.97067202  011.04230828
111  59.97059930  011.04263862
112  59.97047722  011.04233136  59.97049612  011.04217398
111  59.97072541  011.04147501
111  59.97098393  011.04179835
111  59.97112570  011.04132619
111  59.97087882  011.04105286
111  59.97097176  011.04074911
112  59.97103748  011.04065258  59.97109419  011.04065887
113  59.97112631  011.04073722
111  59.97225622  011.03806946
111  59.97228029  011.03788147
111  59.97186678  011.03750111
111  59.97214027  011.03638188
112  59.97219059  011.03622448  59.97223872  011.03615453
111  59.97223216  011.03619825
111  59.97259534  011.03634690
113  59.97233936  011.03813067
111  59.97231239  011.03886941
111  59.97219862  011.03929349
111  59.97153569  011.03859398
112  59.97178730  011.03774145  59.97182230  011.03763215
111  59.97191638  011.03772396
111  59.97175667  011.03834041
111  59.97189888  011.03848031
111  59.97195139  011.03824860
111  59.97201921  011.03830980
111  59.97197108  011.03853714
111  59.97208922  011.03865956
111  59.97220518  011.03824860
111  59.97269308  011.03870328
112  59.97273902  011.03880820  59.97276309  011.03885192
111  59.97275433  011.03896122
113  59.97268213  011.03924103
111  59.97347296  011.03185310
112  59.97357882  011.03204197  59.97358260  011.03216284
111  59.97342381  011.03324317
113  59.97337845  011.03322806
111  59.97406606  011.03367658
112  59.97407263  011.03252670  59.97418859  011.03187962
111  59.97426078  011.03193209
111  59.97433517  011.03198018
113  59.97411201  011.03370719
130 Airport Boundary
111  59.97360144  011.02525284
111  59.97311885  011.02667309
111  59.97043181  011.02622336
111  59.96854781  011.03064781
111  59.97054684  011.03260394
111  59.96805782  011.03648650
111  59.96490366  011.04637634
111  59.96493996  011.05184150
111  59.96621577  011.05262033
111  59.96783697  011.05215607
111  59.97166150  011.04606679
111  59.97392581  011.03709500
113  59.97529927  011.02711480
14  59.97153723  011.03979908  82.02 0 Tower Viewpoint
1300  59.97101154  011.03847437 208.81 tie_down turboprops|props Ramp Start center
1301 A general_aviation 
1300  59.96793928  011.04934870 240.46 tie_down props Ramp Start east
1301 A general_aviation 
1300  59.96893968  011.04707691 -33.11 tie_down helos Helicopter ramp
1301 A general_aviation 
19  59.97400211  011.02653220 1 WS
19  59.96609862  011.05129914 1 WS
54 11910 ATC
99
